"Phylum","Class","Organism_name","Organism","Number_of_rpoN_genes","Total_organisms_per_class","Class_count_organims_with_rpoN"
"Bacteroidota","Chitinophagia","Flavihumibacter fluvii IMCC34837 (Flavihumibacter fluminis (ex Park et al. 2022) IMCC34837)","flc",2,13,13
"Bacteroidota","Chitinophagia","Ferruginibacter lapsinanis KACC 15035","flp",1,13,13
"Thermodesulfobacteriota","Desulfovibrionia","Maridesulfovibrio salexigens DSM 2638 (Desulfovibrio salexigens DSM 2638)","dsa",1,13,13
"Thermodesulfobacteriota","Desulfovibrionia","Megalodesulfovibrio gigas DSM 1382 = ATCC 19364 (Desulfovibrio gigas DSM 1382 = ATCC 19364)","dgg",1,13,13
"Bacteroidota","Chitinophagia","Pseudobacter ginsenosidimutans Gsoil 221","pgo",2,13,13
"Thermodesulfobacteriota","Desulfovibrionia","Solidesulfovibrio magneticus RS-1 (Desulfovibrio magneticus RS-1)","dma",1,13,13
"Bacteroidota","Chitinophagia","Niabella ginsenosidivorans BS26","nia",1,13,13
"Bacteroidota","Chitinophagia","Chitinophaga pinensis DSM 2588","cpi",1,13,13
"Thermodesulfobacteriota","Desulfovibrionia","Oleidesulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20)","dde",1,13,13
"Bacteroidota","Chitinophagia","Lacibacter sediminis S13-6-22","lacs",1,13,13
"Bacteroidota","Chitinophagia","Rhizosphaericola mali B3-10","arac",1,13,13
"Thermodesulfobacteriota","Desulfovibrionia","Desulfohalobium retbaense DSM 5692","drt",1,13,13
"Thermodesulfobacteriota","Desulfovibrionia","Desulfobaculum bizertense SY-1","pbiz",1,13,13
"Bacteroidota","Chitinophagia","Panacibacter ginsenosidivorans Gsoil1550","pgin",1,13,13
"Thermodesulfobacteriota","Desulfovibrionia","Pseudodesulfovibrio mercurii ND132 (Desulfovibrio desulfuricans ND132)","ddn",1,13,13
"Thermodesulfobacteriota","Desulfovibrionia","Desulfolutivibrio sulfodismutans DSM 3696","dsd",1,13,13
"Thermodesulfobacteriota","Desulfovibrionia","Desulfolutivibrio sulfoxidireducens DSM 107105","dsx",1,13,13
"Bacteroidota","Chitinophagia","Paraflavitalea soli 5GH32-13","pseg",2,13,13
"Bacteroidota","Chitinophagia","Phnomibacter ginsenosidimutans SB-02","fls",1,13,13
"Thermodesulfobacteriota","Desulfovibrionia","Lawsonia intracellularis N343","lir",1,13,13
"Spirochaetota","Spirochaetia","Borrelia duttonii Ly","bdu",1,15,15
"Spirochaetota","Spirochaetia","Turneriella parva DSM 21527","tpx",1,15,15
"Spirochaetota","Spirochaetia","Gracilinema caldarium DSM 7334 (Spirochaeta caldaria DSM 7334)","scd",1,15,15
"Actinomycetota","Coriobacteriia","Olsenella sp. oral taxon 807 F0089","olo",0,15,15
"Spirochaetota","Spirochaetia","Breznakiella homolactica RmG30","bhc",1,15,15
"Actinomycetota","Coriobacteriia","Lancefieldella parvula DSM 20469 (Atopobium parvulum DSM 20469)","apv",0,15,15
"Actinomycetota","Coriobacteriia","Eggerthella guodeyinii HF-1101","egd",2,15,15
"Actinomycetota","Coriobacteriia","Fannyhessea vaginae FDAARGOS_934","fvg",0,15,15
"Spirochaetota","Spirochaetia","Sphaerochaeta pleomorpha Grapes","sgp",1,15,15
"Spirochaetota","Spirochaetia","Oceanispirochaeta crateris K2","ock",1,15,15
"Actinomycetota","Coriobacteriia","Atopobium sp. oral taxon 416 W9116","atb",0,15,15
"Spirochaetota","Spirochaetia","Leadbettera azotonutricia ZAS-9 (Treponema azotonutricium ZAS-9)","taz",1,15,15
"Spirochaetota","Spirochaetia","Leptospira tipperaryensis GWTS #1 (Leptospira alstonii GWTS #1)","laj",1,15,15
"Spirochaetota","Spirochaetia","Thiospirochaeta perfilievii P","sper",1,15,15
"Spirochaetota","Spirochaetia","Sediminispirochaeta smaragdinae DSM 11293 (Spirochaeta smaragdinae DSM 11293)","ssm",1,15,15
"Spirochaetota","Spirochaetia","Spirochaeta africana DSM 8902","sfc",1,15,15
"Actinomycetota","Coriobacteriia","Gordonibacter pamelaeae 7-10-1-b","gpa",0,15,15
"Actinomycetota","Coriobacteriia","Adlercreutzia equolifaciens DSM 19450","aeq",0,15,15
"Actinomycetota","Coriobacteriia","Collinsella aerofaciens indica","caer",0,15,15
"Actinomycetota","Coriobacteriia","Slackia heliotrinireducens DSM 20476","shi",0,15,15
"Actinomycetota","Coriobacteriia","Cryptobacterium curtum DSM 15641","ccu",0,15,15
"Spirochaetota","Spirochaetia","Salinispira pacifica L21-RPul-D2","slr",1,15,15
"Spirochaetota","Spirochaetia","Treponema primitia ZAS-2","tpi",1,15,15
"Actinomycetota","Coriobacteriia","Parolsenella catena JCM 31932","pcat",0,15,15
"Actinomycetota","Coriobacteriia","Berryella intestinalis 68-1-3","cbac",0,15,15
"Spirochaetota","Spirochaetia","Brachyspira murdochii DSM 12563","brm",1,15,15
"Actinomycetota","Coriobacteriia","Coriobacterium glomerans PW2, endosymbiont of Pyrrhocoris apterus","cgo",0,15,15
"Actinomycetota","Coriobacteriia","Thermophilibacter immobilis LZLJ-2","tio",0,15,15
"Spirochaetota","Spirochaetia","Borreliella afzelii K78","bafe",1,15,15
"Actinomycetota","Coriobacteriia","Denitrobacterium detoxificans NPOH1","ddt",0,15,15
"Campylobacterota","Epsilonproteobacteria","Arcobacter nitrofigilis DSM 7299","ant",1,18,18
"Campylobacterota","Epsilonproteobacteria","Nitratifractor salsuginis DSM 16511","nsa",0,18,18
"Campylobacterota","Epsilonproteobacteria","Hydrogenimonas sp. MAG","hyo",1,18,18
"Campylobacterota","Epsilonproteobacteria","Sulfurovum sp. NBC37-1","sun",0,18,18
"Campylobacterota","Epsilonproteobacteria","Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","cje",1,18,18
"Campylobacterota","Epsilonproteobacteria","Nitratiruptor sp. SB155-2","nis",0,18,18
"Campylobacterota","Epsilonproteobacteria","Nautilia sp. PV-1","nap",1,18,18
"Campylobacterota","Epsilonproteobacteria","Sulfurimonas lithotrophica GYSZ_1","sulg",2,18,18
"Campylobacterota","Epsilonproteobacteria","Poseidonibacter lekithochrous DSM 100870","alk",1,18,18
"Campylobacterota","Epsilonproteobacteria","Arcobacter acticola KCTC 52212","paco",1,18,18
"Campylobacterota","Epsilonproteobacteria","Helicobacter cinaedi CCUG 18818 = ATCC BAA-847 (Helicobacter cinaedi ATCC BAA-847)","hcb",1,18,18
"Campylobacterota","Epsilonproteobacteria","Sulfurospirillum multivorans DSM 12446","smul",2,18,18
"Campylobacterota","Epsilonproteobacteria","Aliarcobacter butzleri RM4018","abu",0,18,18
"Campylobacterota","Epsilonproteobacteria","Halarcobacter ebronensis LMG 27922","hebr",1,18,18
"Campylobacterota","Epsilonproteobacteria","Wolinella succinogenes DSM 1740","wsu",2,18,18
"Campylobacterota","Epsilonproteobacteria","Sulfuricurvum kujiense DSM 16994","sku",2,18,18
"Campylobacterota","Epsilonproteobacteria","Malaciobacter marinus JCM 15502","amar",0,18,18
"Campylobacterota","Epsilonproteobacteria","Caminibacter pacificus TB6 (Cetia pacifica TB6)","cpaf",1,18,18
"Bacteroidota","Bacteroidia","Tannerella forsythia 92A2","tfo",1,27,27
"Bacteroidota","Bacteroidia","Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2, endosymbiont of Coptotermes formosanus (Formosan subterranean termite)","aps",1,27,27
"Bacteroidota","Bacteroidia","Tenuifilum thalassicum 38H-str","ttz",1,27,27
"Bacteroidota","Bacteroidia","Maribellus comscasis WC007","mcos",1,27,27
"Bacteroidota","Bacteroidia","Petrimonas sp. IBARAKI","pet",1,27,27
"Bacteroidota","Bacteroidia","Proteiniphilum saccharofermentans M3/6","psac",1,27,27
"Bacteroidota","Bacteroidia","Paludibacter propionicigenes WB4","ppn",1,27,27
"Bacteroidota","Bacteroidia","Parabacteroides sp. CT06","parc",1,27,27
"Bacteroidota","Bacteroidia","Barnesiella viscericola DSM 18177","bvs",1,27,27
"Bacteroidota","Bacteroidia","Mucinivorans hirudinis M3","rbc",1,27,27
"Bacteroidota","Bacteroidia","Alkalitalea saponilacus SC/BZ-SP2","asx",1,27,27
"Bacteroidota","Bacteroidia","Pseudoprevotella muciniphila E39","alq",1,27,27
"Bacteroidota","Bacteroidia","Draconibacterium orientale FH5T","dori",1,27,27
"Bacteroidota","Bacteroidia","Duncaniella sp. B8","dun",1,27,27
"Bacteroidota","Bacteroidia","Labilibaculum antarcticum SPP2","mbas",1,27,27
"Bacteroidota","Bacteroidia","Salinivirga cyanobacteriivorans L21-Spi-D4 (Bacterium L21-Spi-D4)","blq",1,27,27
"Bacteroidota","Bacteroidia","Muribaculum intestinale YL27 (Parabacteroides sp. YL27)","pary",1,27,27
"Bacteroidota","Bacteroidia","Coprobacter secundus subsp. similis 2CBH44","copr",1,27,27
"Bacteroidota","Bacteroidia","Dysgonomonas sp. HDW5A","dys",1,27,27
"Bacteroidota","Bacteroidia","Butyricimonas virosa FDAARGOS_1229","bvir",1,27,27
"Bacteroidota","Bacteroidia","Alistipes finegoldii DSM 17242","afd",1,27,27
"Bacteroidota","Bacteroidia","Porphyromonas gingivalis ATCC 33277","pgn",1,27,27
"Bacteroidota","Bacteroidia","Xylanibacter ruminicola 23 (Prevotella ruminicola 23)","pru",1,27,27
"Bacteroidota","Bacteroidia","Fermentimonas caenicola ING2-E5B","pbt",1,27,27
"Bacteroidota","Bacteroidia","Bacteroides cellulosilyticus WH2","bcel",1,27,27
"Bacteroidota","Bacteroidia","Phocaeicola dorei HS1_L_1_B_010","bdo",1,27,27
"Bacteroidota","Bacteroidia","Odoribacter splanchnicus DSM 20712","osp",1,27,27
"Bacteroidota","Cytophagia","Belliella baltica DSM 15883","bbd",1,28,28
"Bacteroidota","Cytophagia","Leadbetterella byssophila DSM 17132","lby",1,28,28
"Bacteroidota","Cytophagia","Rhodocytophaga rosea 172606-1","rhoz",1,28,28
"Bacteroidota","Cytophagia","Mongoliitalea daihaiensis X100-76","mda",1,28,28
"Bacteroidota","Cytophagia","Flammeovirga sp. MY04","flm",1,28,28
"Bacteroidota","Cytophagia","Hymenobacter jejuensis 17J68-5","hyj",1,28,28
"Bacteroidota","Cytophagia","Spirosoma aureum BT328","spib",1,28,28
"Bacteroidota","Cytophagia","Mangrovivirga cuniculi R1DC9","fpf",1,28,28
"Bacteroidota","Cytophagia","Chryseolinea soli KIS68-18","chk",1,28,28
"Bacteroidota","Cytophagia","Runella sp. SP2","rup",3,28,28
"Bacteroidota","Cytophagia","Cardinium sp. cEper1 (Cardinium hertigii cEper1), endosymbiont of Encarsia pergandiella","che",1,28,28
"Bacteroidota","Cytophagia","Pontibacter korlensis X14-1T","pko",1,28,28
"Bacteroidota","Cytophagia","Arcticibacterium luteifluviistationis SM1504","als",3,28,28
"Bacteroidota","Cytophagia","Algoriphagus sanaruensis M8-2 (Algoriphagus sp. M8-2)","alm",1,28,28
"Bacteroidota","Cytophagia","Cytophaga hutchinsonii ATCC 33406","chu",1,28,28
"Bacteroidota","Cytophagia","Aquirufa nivalisilvae HME7025 (Allopseudarcicella aquatilis HME7025)","psez",1,28,28
"Bacteroidota","Cytophagia","Emticicia oligotrophica DSM 17448","eol",2,28,28
"Bacteroidota","Cytophagia","Fulvivirga lutea S481","fuv",1,28,28
"Bacteroidota","Cytophagia","Adhaeribacter radiodurans KUDC8001","add",1,28,28
"Bacteroidota","Cytophagia","Nibribacter ruber BT10","nib",1,28,28
"Bacteroidota","Cytophagia","Fibrella aestuarina BUZ 2","fae",1,28,28
"Bacteroidota","Cytophagia","Candidatus Amoebophilus asiaticus 5a2","aas",1,28,28
"Bacteroidota","Cytophagia","Dyadobacter fermentans DSM 18053","dfe",1,28,28
"Bacteroidota","Cytophagia","Echinicola strongylocentroti MEBiC08714","est",1,28,28
"Bacteroidota","Cytophagia","Cyclobacterium marinum DSM 745","cmr",1,28,28
"Bacteroidota","Cytophagia","Rufibacter tibetensis 1351","rti",1,28,28
"Bacteroidota","Cytophagia","Marivirga tractuosa DSM 4126","mtt",1,28,28
"Bacteroidota","Cytophagia","Bernardetia litoralis DSM 6794 (Flexibacter litoralis DSM 6794)","fli",1,28,28
"Planctomycetota","Planctomycetia","Mariniblastus fucicola FC18","mff",1,33,33
"Planctomycetota","Planctomycetia","Pirellula sp. SH-Sr6A","pir",1,33,33
"Planctomycetota","Planctomycetia","Aeoliella mucimassa Pan181","amuc",1,33,33
"Planctomycetota","Planctomycetia","Lacipirellula parvula PX69","lpav",1,33,33
"Planctomycetota","Planctomycetia","Urbifossiella limnaea ETA_A1","uli",1,33,33
"Planctomycetota","Planctomycetia","Rhodopirellula baltica SH 1 (Pirellula sp. strain 1)","rba",1,33,33
"Planctomycetota","Planctomycetia","Limnoglobus roseus PX52","lrs",1,33,33
"Planctomycetota","Planctomycetia","Planctopirus limnophila DSM 3776 (Planctomyces limnophilus DSM 3776)","plm",1,33,33
"Planctomycetota","Planctomycetia","Rubripirellula lacrimiformis K22_7","rlc",1,33,33
"Planctomycetota","Planctomycetia","Anatilimnocola aggregata ETA_A8","aagg",1,33,33
"Planctomycetota","Planctomycetia","Gemmata massiliana Soil9","gms",1,33,33
"Planctomycetota","Planctomycetia","Bremerella volcania Pan97","bvo",0,33,33
"Planctomycetota","Planctomycetia","Adhaeretor mobilis HG15A2","amob",1,33,33
"Planctomycetota","Planctomycetia","Rubinisphaera brasiliensis DSM 5305 (Planctomyces brasiliensis DSM 5305)","pbs",1,33,33
"Planctomycetota","Planctomycetia","Roseimaritima ulvae UC8","rul",1,33,33
"Planctomycetota","Planctomycetia","Symmachiella dynata Mal52","sdyn",1,33,33
"Planctomycetota","Planctomycetia","Rosistilla oblonga CA51","rol",1,33,33
"Planctomycetota","Planctomycetia","Thermogutta terrifontis R1","ttf",1,33,33
"Planctomycetota","Planctomycetia","Frigoriglobus tundricola PL17","ftj",1,33,33
"Planctomycetota","Planctomycetia","Planctomyces sp. SH-PL14","pls",1,33,33
"Planctomycetota","Planctomycetia","Paludisphaera borealis PX4","pbor",1,33,33
"Planctomycetota","Planctomycetia","Polystyrenella longa Pla110","plon",1,33,33
"Planctomycetota","Planctomycetia","Singulisphaera acidiphila DSM 18658","saci",1,33,33
"Planctomycetota","Planctomycetia","Aquisphaera giovannonii OJF2","agv",1,33,33
"Planctomycetota","Planctomycetia","Telmatocola sphagniphila SP2","tsph",1,33,33
"Planctomycetota","Planctomycetia","Isosphaera pallida ATCC 43644","ipa",1,33,33
"Planctomycetota","Planctomycetia","Gimesia panareensis Pan110","gpn",1,33,33
"Planctomycetota","Planctomycetia","Lignipirellula cremea Pla85_3_4","lcre",1,33,33
"Planctomycetota","Planctomycetia","Pirellulimonas nuda Pla175","pnd",1,33,33
"Planctomycetota","Planctomycetia","Tuwongella immobilis MBLW1","tim",1,33,33
"Planctomycetota","Planctomycetia","Fuerstiella marisgermanici NH11 (Fuerstia marisgermanicae NH11)","fmr",1,33,33
"Planctomycetota","Planctomycetia","Maioricimonas rarisocia Mal4","mri",1,33,33
"Planctomycetota","Planctomycetia","Aureliella helgolandensis Q31a","ahel",1,33,33
"Cyanobacteriota","Cyanophyceae","Rippkaea orientalis PCC 8801","cyp",0,58,58
"Cyanobacteriota","Cyanophyceae","Picosynechococcus sp. PCC 7002","syp",0,58,58
"Cyanobacteriota","Cyanophyceae","Phormidium sp. PBR-2020","phor",0,58,58
"Cyanobacteriota","Cyanophyceae","Halomicronema hongdechloris C2206","hhg",0,58,58
"Cyanobacteriota","Cyanophyceae","Geitlerinema sp. PCC 7407","gei",0,58,58
"Cyanobacteriota","Cyanophyceae","Oscillatoria nigro-viridis PCC 7112","oni",0,58,58
"Cyanobacteriota","Cyanophyceae","Tolypothrix sp. PCC 7910","toq",0,58,58
"Cyanobacteriota","Cyanophyceae","Calothrix sp. PCC 7507","calo",0,58,58
"Cyanobacteriota","Cyanophyceae","Kovacikia minuta CCNUW1","kov",0,58,58
"Cyanobacteriota","Cyanophyceae","Pseudanabaena sp. ABRG5-3","pser",0,58,58
"Cyanobacteriota","Cyanophyceae","Dolichospermum sp. UHCC 0315A","dou",0,58,58
"Cyanobacteriota","Cyanophyceae","Allocoleopsis franciscana PCC 7113","mic",0,58,58
"Cyanobacteriota","Cyanophyceae","Aphanizomenon flos-aquae DEX188","aflo",0,58,58
"Cyanobacteriota","Cyanophyceae","Fischerella sp. NIES-3754","fis",0,58,58
"Cyanobacteriota","Cyanophyceae","Gloeocapsa sp. PCC 7428","glp",1,58,58
"Cyanobacteriota","Cyanophyceae","Moorena producens PAL-8-15-08-1 (Moorea producens PAL-8-15-08-1)","mpro",0,58,58
"Cyanobacteriota","Cyanophyceae","Thermosynechococcus vestitus BP-1 (Thermosynechococcus elongatus BP-1)","tel",0,58,58
"Cyanobacteriota","Cyanophyceae","Halothece sp. PCC 7418","hao",0,58,58
"Cyanobacteriota","Cyanophyceae","Cyanobium gracile PCC 6307","cgc",0,58,58
"Cyanobacteriota","Cyanophyceae","Microcystis aeruginosa NIES-843","mar",0,58,58
"Cyanobacteriota","Cyanophyceae","Planktothrix agardhii NIES-204","pagh",0,58,58
"Cyanobacteriota","Cyanophyceae","Euhalothece natronophila Z-M001","enn",0,58,58
"Cyanobacteriota","Cyanophyceae","Trichormus variabilis ATCC 29413 (Anabaena variabilis ATCC 29413)","ava",0,58,58
"Cyanobacteriota","Cyanophyceae","Prochlorococcus marinus MIT 9303","pmf",0,58,58
"Cyanobacteriota","Cyanophyceae","Nostoc sp. PCC 7120 (Anabaena sp. PCC 7120)","ana",0,58,58
"Cyanobacteriota","Cyanophyceae","Limnospira fusiformis SAG 85.79","lfs",0,58,58
"Cyanobacteriota","Cyanophyceae","Acaryochloris marina MBIC11017","amr",0,58,58
"Cyanobacteriota","Cyanophyceae","Candidatus Atelocyanobacterium thalassa (Cyanobacterium UCYN-A)","cyu",0,58,58
"Cyanobacteriota","Cyanophyceae","Synechocystis sp. PCC 6803","syz",0,58,58
"Cyanobacteriota","Cyanophyceae","Microcoleus vaginatus PCC 9802","mvag",0,58,58
"Cyanobacteriota","Cyanophyceae","Leptodesmis sichuanensis A121","lsc",0,58,58
"Cyanobacteriota","Cyanophyceae","Arthrospira platensis NIES-39","arp",0,58,58
"Cyanobacteriota","Cyanophyceae","Trichodesmium erythraeum IMS101","ter",0,58,58
"Cyanobacteriota","Cyanophyceae","Thermostichus vulcanus NIES-2134","tvn",0,58,58
"Cyanobacteriota","Cyanophyceae","Cylindrospermopsis curvispora GIHE-G1","ccur",0,58,58
"Cyanobacteriota","Cyanophyceae","Nodularia spumigena UHCC 0039","nsp",0,58,58
"Cyanobacteriota","Cyanophyceae","Anabaena cylindrica PCC 7122","acy",0,58,58
"Cyanobacteriota","Cyanophyceae","Chroococcidiopsis thermalis PCC 7203","cthe",0,58,58
"Cyanobacteriota","Cyanophyceae","Crinalium epipsammum PCC 9333","cep",0,58,58
"Cyanobacteriota","Cyanophyceae","Rivularia sp. PCC 7116","riv",0,58,58
"Cyanobacteriota","Cyanophyceae","Gloeobacter kilaueensis JS1","glj",0,58,58
"Cyanobacteriota","Cyanophyceae","Stanieria cyanosphaera PCC 7437","scs",0,58,58
"Cyanobacteriota","Cyanophyceae","Thermoleptolyngbya sichuanensis A183","theu",0,58,58
"Cyanobacteriota","Cyanophyceae","Crocosphaera subtropica ATCC 51142 (Cyanothece sp. ATCC 51142)","cyt",0,58,58
"Cyanobacteriota","Cyanophyceae","Leptolyngbya sp. O-77","let",1,58,58
"Cyanobacteriota","Cyanophyceae","Chondrocystis sp. NIES-4102","chon",0,58,58
"Cyanobacteriota","Cyanophyceae","Pleurocapsa sp. PCC 7327","plp",0,58,58
"Cyanobacteriota","Cyanophyceae","Parasynechococcus marenigrum WH 8102 (Synechococcus sp. WH 8102)","syw",0,58,58
"Cyanobacteriota","Cyanophyceae","Chamaesiphon minutus PCC 6605","cmp",0,58,58
"Cyanobacteriota","Cyanophyceae","Oxynema aestuarii AP17","oxy",0,58,58
"Cyanobacteriota","Cyanophyceae","Cyanothece sp. PCC 7425","cyn",0,58,58
"Cyanobacteriota","Cyanophyceae","Gloeothece verrucosa PCC 7822","cyj",0,58,58
"Cyanobacteriota","Cyanophyceae","Richelia sinica FACHB-800","rsin",0,58,58
"Cyanobacteriota","Cyanophyceae","Dactylococcopsis salina PCC 8305","dsl",0,58,58
"Cyanobacteriota","Cyanophyceae","Cylindrospermum stagnale PCC 7417","csg",0,58,58
"Cyanobacteriota","Cyanophyceae","Leptothermofonsia sichuanensis E412 (Leptothermofonsia sichuanensis PKUAC-SCTE412)","lsk",0,58,58
"Cyanobacteriota","Cyanophyceae","Geminocystis sp. NIES-3708","gee",0,58,58
"Cyanobacteriota","Cyanophyceae","Cyanobacterium aponinum PCC 10605","can",0,58,58
"Bacteroidota","Flavobacteriia","Aequorivita ciconiae H23M31","aev",1,75,75
"Bacteroidota","Flavobacteriia","Zunongwangia profunda SM-A87","zpr",1,75,75
"Bacteroidota","Flavobacteriia","Constantimarinum furrinae ALE3EI","alti",1,75,75
"Bacteroidota","Flavobacteriia","Candidatus Karelsulcia muelleri PSPU","smup",0,75,75
"Bacteroidota","Flavobacteriia","Pseudalgibacter alginicilyticus HZ22 (Algibacter alginolytica HZ22)","ahz",1,75,75
"Bacteroidota","Flavobacteriia","Dokdonia sp. 4H-3-7-5 (Krokinobacter sp. 4H-3-7-5)","kdi",1,75,75
"Bacteroidota","Flavobacteriia","Aggregatimonas sangjinii F202Z8","asag",1,75,75
"Bacteroidota","Flavobacteriia","Salegentibacter sp. T436","salt",1,75,75
"Bacteroidota","Flavobacteriia","Nonlabens dokdonensis DSW-6","ndo",1,75,75
"Bacteroidota","Flavobacteriia","Marixanthomonas sp. SCSIO 43207","marx",1,75,75
"Bacteroidota","Flavobacteriia","Flagellimonas oceani 501str8","mut",1,75,75
"Bacteroidota","Flavobacteriia","Zobellia galactanivorans DsiJT","zga",1,75,75
"Bacteroidota","Flavobacteriia","Zhouia spongiae HN-Y44","zsp",1,75,75
"Bacteroidota","Flavobacteriia","Chryseobacterium gleum NCTC11432","cgle",1,75,75
"Bacteroidota","Flavobacteriia","Blattabacterium sp. Bge, endosymbiont of Blattella germanica (German cockroach)","bbl",1,75,75
"Bacteroidota","Flavobacteriia","Mesoflavibacter sp. HG96","mesq",1,75,75
"Bacteroidota","Flavobacteriia","Flavivirga eckloniae ECD14","fek",1,75,75
"Bacteroidota","Flavobacteriia","Epilithonimonas vandammei H6466","eva",1,75,75
"Bacteroidota","Flavobacteriia","Elizabethkingia sp. 2-6","elz",1,75,75
"Bacteroidota","Flavobacteriia","Flaviramulus sp. BrNp1-15","sabu",1,75,75
"Bacteroidota","Flavobacteriia","Weeksella virosa DSM 16922","wvi",1,75,75
"Bacteroidota","Flavobacteriia","Galbibacter sp. BG1","gaa",1,75,75
"Bacteroidota","Flavobacteriia","Myroides sp. A21","myr",1,75,75
"Bacteroidota","Flavobacteriia","Aquimarina sp. AD10","aqd",1,75,75
"Bacteroidota","Flavobacteriia","Christiangramia fulva SH35","grs",1,75,75
"Bacteroidota","Flavobacteriia","Lacinutrix sp. Bg11-31","laci",1,75,75
"Bacteroidota","Flavobacteriia","Paracrocinitomix mangrovi GM2-3-6-6","crm",1,75,75
"Bacteroidota","Flavobacteriia","Owenweeksia hongkongensis DSM 17368","oho",1,75,75
"Bacteroidota","Flavobacteriia","Cruoricaptor ignavus M1214","civ",1,75,75
"Bacteroidota","Flavobacteriia","Polaribacter reichenbachii 6Alg 8T","prn",1,75,75
"Bacteroidota","Flavobacteriia","Bergeyella cardium HPQL","bcad",1,75,75
"Bacteroidota","Flavobacteriia","Tenacibaculum jejuense KCTC 22618(T)","tje",1,75,75
"Bacteroidota","Flavobacteriia","Sediminicola sp. YIK13","syi",1,75,75
"Bacteroidota","Flavobacteriia","Candidatus Walczuchella monophlebidarum, endosymbiont of Llaveia axin axin","elv",1,75,75
"Bacteroidota","Flavobacteriia","Kordia antarctica IMCC3317","kan",1,75,75
"Bacteroidota","Flavobacteriia","Riemerella anatipestifer RA-CH-2","rae",1,75,75
"Bacteroidota","Flavobacteriia","Cloacibacterium normanense NRS-1","cnr",1,75,75
"Bacteroidota","Flavobacteriia","Olleya sp. Bg11-27","oll",1,75,75
"Bacteroidota","Flavobacteriia","Antarcticibacterium flavum KCTC 52984","afla",1,75,75
"Bacteroidota","Flavobacteriia","Rasiella rasia RR4-40","mgel",1,75,75
"Bacteroidota","Flavobacteriia","Capnocytophaga endodontalis ChDC OS43","capn",1,75,75
"Bacteroidota","Flavobacteriia","Psychroflexus torquis ATCC 700755","ptq",1,75,75
"Bacteroidota","Flavobacteriia","Apibacter sp. B2966","apib",1,75,75
"Bacteroidota","Flavobacteriia","Seonamhaeicola sp. S2-3","seon",1,75,75
"Bacteroidota","Flavobacteriia","Pukyongia salina RR4-38","aue",1,75,75
"Bacteroidota","Flavobacteriia","Flagellimonas sp. HMM57","flg",1,75,75
"Bacteroidota","Flavobacteriia","Arenibacter algicola SMS7","aalg",1,75,75
"Bacteroidota","Flavobacteriia","Siansivirga zeaxanthinifaciens CC-SAMT-1","sze",1,75,75
"Bacteroidota","Flavobacteriia","Cellulophaga algicola DSM 14237","cao",1,75,75
"Bacteroidota","Flavobacteriia","Croceimicrobium hydrocarbonivorans A20-9","chyd",1,75,75
"Bacteroidota","Flavobacteriia","Sinomicrobium kalidii HD2P242","sinh",1,75,75
"Bacteroidota","Flavobacteriia","Formosa sediminum PS13","fop",1,75,75
"Bacteroidota","Flavobacteriia","Oceanihabitans sp. IOP_32","oci",1,75,75
"Bacteroidota","Flavobacteriia","Wenyingzhuangia fucanilytica CZ1127","wfu",1,75,75
"Bacteroidota","Flavobacteriia","Euzebyella marina RN62","emar",1,75,75
"Bacteroidota","Flavobacteriia","Ornithobacterium rhinotracheale ORT-UMN 88 (serotype A)","ori",1,75,75
"Bacteroidota","Flavobacteriia","Mariniflexile sp. TRM1-10","marf",1,75,75
"Bacteroidota","Flavobacteriia","Aureibaculum algae 10Alg 115","fbe",1,75,75
"Bacteroidota","Flavobacteriia","Ichthyobacterium seriolicida JBKA-6","ise",1,75,75
"Bacteroidota","Flavobacteriia","Fluviicola taffensis DSM 16823","fte",1,75,75
"Bacteroidota","Flavobacteriia","Winogradskyella sp. PG-2","win",1,75,75
"Bacteroidota","Flavobacteriia","Faecalibacter bovis ZY171143","fbo",1,75,75
"Bacteroidota","Flavobacteriia","Croceibacter atlanticus HTCC2559","cat",1,75,75
"Bacteroidota","Flavobacteriia","Maribacter cobaltidurans B1","marb",1,75,75
"Bacteroidota","Flavobacteriia","Empedobacter falsenii 1681-1","efal",1,75,75
"Bacteroidota","Flavobacteriia","Robiginitalea biformata HTCC2501","rbi",1,75,75
"Bacteroidota","Flavobacteriia","Costertonia aggregata KCCM 42265","cagg",1,75,75
"Bacteroidota","Flavobacteriia","Lutibacter profundi LP1","lut",1,75,75
"Bacteroidota","Flavobacteriia","Urechidicola croceus LPB0138 (Lutibacter sp. LPB0138)","lul",1,75,75
"Bacteroidota","Flavobacteriia","Kaistella jeonii NCTC13459","cjg",1,75,75
"Bacteroidota","Flavobacteriia","Pseudotamlana carrageenivorans UJ94 (Tamlana carrageenivorans UJ94)","taj",1,75,75
"Bacteroidota","Flavobacteriia","Psychroserpens sp. NJDZ02","psyn",1,75,75
"Bacteroidota","Flavobacteriia","Muriicola soli MMS17-SY002","mur",1,75,75
"Bacteroidota","Flavobacteriia","Flavobacterium crocinum HYN0056","fcr",1,75,75
"Bacteroidota","Flavobacteriia","Leeuwenhoekiella palythoae F5","lpal",1,75,75
"Bacillota","Clostridia","Terrisporobacter hibernicus MCA3","tem",1,107,107
